HomeTeam,AwayTeam,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,Year,Month,Day
Newcastle,Everton,NH,11,12,8,16,1.6,0.9,10.0,7,5,0,0,0,0,0,0,0,0,0.3,-0.4,0.7,0.2,2000,10,21
Tottenham,Derby,H,12,14,13,23,1.1,0.5,10.0,4,2,0,0,0,0,0,0,0,0,-0.1,-0.9,0.6,0.2,2000,10,21
West Ham,Arsenal,NH,11,15,12,9,0.8,1.8,10.0,6,11,0,0,0,0,0,0,0,0,-0.1,0.6,-1.0,-0.5,2000,10,21
Aston Villa,Sunderland,NH,11,8,8,11,1.3,1.2,10.0,8,8,0,0,0,0,0,0,0,0,0.3,-0.3,0.1,0.0,2000,10,22
Southampton,Man City,NH,12,12,13,14,1.0,1.1,10.0,7,5,0,0,0,0,0,0,0,0,-0.1,-0.2,-0.1,0.2,2000,10,23
Arsenal,Man City,H,15,12,9,14,1.8,1.1,10.0,11,5,0,0,0,0,0,0,0,0,0.6,-0.2,0.7,0.6,2000,10,28
Aston Villa,Charlton,H,13,16,9,16,1.4545454545454546,1.3636363636363635,11.0,8,10,0,0,0,0,0,0,0,0,0.3636363636363636,0.0,0.0909090909090909,-0.1818181818181818,2000,10,28
Chelsea,Tottenham,H,19,15,14,14,1.181818181818182,1.2727272727272727,11.0,7,4,0,0,0,0,0,0,0,0,0.4545454545454545,0.0909090909090909,-0.0909090909090909,0.2727272727272727,2000,10,28
Ipswich,Middlesbrough,H,14,15,11,16,1.3636363636363635,0.9090909090909092,11.0,11,5,0,0,0,0,0,0,0,0,0.2727272727272727,-0.0909090909090909,0.4545454545454545,0.5454545454545454,2000,10,28
Leicester,Derby,H,7,15,6,26,1.4545454545454546,0.4545454545454545,11.0,5,1,0,0,0,0,0,0,0,0,0.0909090909090909,-1.0,1.0,0.3636363636363636,2000,10,28
Man United,Southampton,H,26,12,8,15,1.9090909090909087,0.9090909090909092,11.0,10,7,0,0,0,0,0,0,0,0,1.6363636363636365,-0.2727272727272727,1.0,0.2727272727272727,2000,10,28
Sunderland,Coventry,H,8,11,11,21,1.181818181818182,1.0,11.0,9,4,0,0,0,0,0,0,0,0,-0.2727272727272727,-0.9090909090909092,0.1818181818181818,0.4545454545454545,2000,10,28
West Ham,Newcastle,H,12,11,14,9,0.7272727272727273,1.4545454545454546,11.0,6,6,0,0,0,0,0,0,0,0,-0.1818181818181818,0.1818181818181818,-0.7272727272727273,0.0,2000,10,28
Bradford,Leeds,NH,4,15,16,14,0.5454545454545454,1.3636363636363635,11.0,1,8,0,0,0,0,0,0,0,0,-1.0909090909090908,0.0909090909090909,-0.8181818181818182,-0.6363636363636364,2000,10,29
Liverpool,Everton,H,17,13,13,16,1.6363636363636365,1.0909090909090908,11.0,8,5,0,0,0,0,0,0,0,0,0.3636363636363636,-0.2727272727272727,0.5454545454545454,0.2727272727272727,2000,10,29
Charlton,Bradford,H,16,4,16,16,1.3636363636363635,0.5454545454545454,11.0,10,1,0,0,0,0,0,0,0,0,0.0,-1.0909090909090908,0.8181818181818182,0.8181818181818182,2000,4,11
Coventry,Man United,NH,11,31,22,8,0.9166666666666666,2.0,12.0,4,10,0,0,0,0,0,0,0,0,-0.9166666666666666,1.9166666666666667,-1.0833333333333333,-0.5,2000,4,11
Leeds,Liverpool,H,19,20,17,14,1.5,1.75,12.0,10,10,0,0,0,0,0,0,0,0,0.1666666666666666,0.5,-0.25,0.0,2000,4,11
Man City,Leicester,NH,14,9,19,7,1.1666666666666667,1.5833333333333333,12.0,7,5,0,0,0,0,0,0,0,0,-0.4166666666666667,0.1666666666666666,-0.4166666666666667,0.1666666666666666,2000,4,11
Middlesbrough,Arsenal,NH,16,22,18,10,0.8333333333333334,2.0,12.0,4,13,0,0,0,0,0,0,0,0,-0.1666666666666666,1.0,-1.1666666666666667,-0.75,2000,4,11
Newcastle,Ipswich,H,11,16,10,12,1.3333333333333333,1.5,12.0,6,11,0,0,0,0,0,0,0,0,0.0833333333333333,0.3333333333333333,-0.1666666666666666,-0.4166666666666667,2000,4,11
Southampton,Chelsea,H,12,22,20,14,0.8333333333333334,1.3333333333333333,12.0,4,10,0,0,0,0,0,0,0,0,-0.6666666666666666,0.6666666666666666,-0.5,-0.5,2000,4,11
Tottenham,Sunderland,H,15,9,17,11,1.1666666666666667,1.3333333333333333,12.0,4,9,0,0,0,0,0,0,0,0,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.4166666666666667,2000,4,11
Everton,Aston Villa,NH,14,14,19,9,1.0,1.5833333333333333,12.0,5,10,0,0,0,0,0,0,0,0,-0.4166666666666667,0.4166666666666667,-0.5833333333333334,-0.4166666666666667,2000,5,11
Derby,West Ham,NH,16,13,28,14,0.4166666666666667,0.9166666666666666,12.0,1,8,0,0,0,0,0,0,0,0,-1.0,-0.0833333333333333,-0.5,-0.5833333333333334,2000,6,11
Arsenal,Derby,NH,22,16,10,28,2.0,0.4166666666666667,12.0,13,1,0,0,0,0,0,0,0,0,1.0,-1.0,1.5833333333333333,1.0,2000,11,11
Aston Villa,Tottenham,H,16,17,9,18,1.6923076923076923,1.3076923076923077,13.0,10,6,0,0,0,0,0,0,0,0,0.5384615384615384,-0.0769230769230769,0.3846153846153846,0.3076923076923077,2000,11,11
Bradford,Everton,NH,5,14,19,20,0.5384615384615384,0.9230769230769232,13.0,2,4,0,0,0,0,0,0,0,0,-1.0769230769230769,-0.4615384615384615,-0.3846153846153846,-0.1538461538461538,2000,11,11
Ipswich,Charlton,H,17,19,14,18,1.3846153846153846,1.3846153846153846,13.0,10,7,0,0,0,0,0,0,0,0,0.2307692307692307,0.0769230769230769,0.0,0.2307692307692307,2000,11,11
Leicester,Newcastle,NH,10,13,7,11,1.6923076923076923,1.4615384615384617,13.0,7,9,0,0,0,0,0,0,0,0,0.2307692307692307,0.1538461538461538,0.2307692307692307,-0.1538461538461538,2000,11,11
Man United,Middlesbrough,H,33,16,9,19,2.076923076923077,0.7692307692307693,13.0,12,3,0,0,0,0,0,0,0,0,1.8461538461538465,-0.2307692307692307,1.3076923076923077,0.6923076923076923,2000,11,11
Sunderland,Southampton,NH,10,15,13,22,1.2307692307692308,1.0,13.0,8,4,0,0,0,0,0,0,0,0,-0.2307692307692307,-0.5384615384615384,0.2307692307692307,0.3076923076923077,2000,11,11
West Ham,Man City,H,13,14,14,20,0.9230769230769232,1.0769230769230769,13.0,6,6,0,0,0,0,0,0,0,0,-0.0769230769230769,-0.4615384615384615,-0.1538461538461538,0.0,2000,11,11
Chelsea,Leeds,NH,24,20,17,18,1.2307692307692308,1.4615384615384617,13.0,9,8,0,0,0,0,0,0,0,0,0.5384615384615384,0.1538461538461538,-0.2307692307692307,0.0769230769230769,2000,12,11
Liverpool,Coventry,H,23,12,18,24,1.6153846153846154,0.8461538461538461,13.0,9,4,0,0,0,0,0,0,0,0,0.3846153846153846,-0.9230769230769232,0.7692307692307693,0.3846153846153846,2000,12,11
Charlton,Chelsea,H,19,24,18,17,1.3846153846153846,1.2307692307692308,13.0,7,9,0,0,0,0,0,0,0,0,0.0769230769230769,0.5384615384615384,0.1538461538461538,-0.1538461538461538,2000,11,18
Derby,Bradford,H,16,5,28,20,0.5,0.5,14.0,2,1,0,0,1,0,0,0,0,0,-0.8571428571428571,-1.0714285714285714,0.0,0.0714285714285714,2000,11,18
Everton,Arsenal,H,15,23,20,10,1.0714285714285714,2.0,14.0,7,13,0,0,0,0,1,0,0,0,-0.3571428571428571,0.9285714285714286,-0.9285714285714286,-0.4285714285714285,2000,11,18
Leeds,West Ham,NH,20,17,19,15,1.3571428571428572,1.0714285714285714,14.0,5,8,0,0,0,0,0,0,0,0,0.0714285714285714,0.1428571428571428,0.2857142857142857,-0.2142857142857142,2000,11,18
Man City,Man United,NH,15,35,24,10,1.0,2.142857142857143,14.0,6,15,0,0,0,0,1,1,0,0,-0.6428571428571429,1.7857142857142858,-1.1428571428571428,-0.6428571428571429,2000,11,18
Middlesbrough,Leicester,NH,17,11,21,8,0.7142857142857143,1.6428571428571428,14.0,0,7,0,0,1,1,0,0,0,0,-0.2857142857142857,0.2142857142857142,-0.9285714285714286,-0.5,2000,11,18
Newcastle,Sunderland,NH,14,12,12,15,1.4285714285714286,1.2142857142857142,14.0,7,8,0,0,0,0,0,0,0,0,0.1428571428571428,-0.2142857142857142,0.2142857142857142,-0.0714285714285714,2000,11,18
Southampton,Aston Villa,H,17,16,24,11,1.0,1.5714285714285714,14.0,5,10,0,0,0,0,0,0,0,0,-0.5,0.3571428571428571,-0.5714285714285714,-0.3571428571428571,2000,11,18
Tottenham,Liverpool,H,17,27,20,19,1.2142857142857142,1.7142857142857142,14.0,6,12,0,0,0,0,1,0,0,0,-0.2142857142857142,0.5714285714285714,-0.5,-0.4285714285714285,2000,11,19
Coventry,Ipswich,NH,13,19,28,14,0.7857142857142857,1.5,14.0,3,10,0,0,0,0,0,0,0,0,-1.0714285714285714,0.3571428571428571,-0.7142857142857143,-0.5,2000,11,20
Charlton,Sunderland,NH,19,12,20,15,1.2857142857142858,1.2142857142857142,14.0,6,8,0,0,0,0,0,0,0,0,-0.0714285714285714,-0.2142857142857142,0.0714285714285714,-0.1428571428571428,2000,11,25
Coventry,Aston Villa,NH,13,17,29,12,0.7333333333333333,1.5333333333333334,15.0,0,10,0,0,1,1,1,0,0,0,-1.0666666666666669,0.3333333333333333,-0.8,-0.6666666666666666,2000,11,25
Derby,Man United,NH,18,36,28,10,0.6666666666666666,2.2,15.0,5,15,0,0,0,0,1,1,0,0,-0.6666666666666666,1.7333333333333334,-1.5333333333333334,-0.6666666666666666,2000,11,25
